Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.08,3.32,1.05,1.251,K2III,15.68569,0
8.53,2.53,1.0,1.274,K3III,15.545603,0
8.97,2.26,1.12,1.294,K2III,15.740542,0
9.12,41.45,1.01,1.025,K4V,22.207623,1
7.96,4.48,0.69,1.07,G8/K0III,16.216389,0
8.61,3.6,1.17,1.487,M3III,16.391512,0
6.91,9.69,0.75,0.331,F3IV/V,16.84162,1
9.6,-0.71,1.41,1.205,G8III:,13.856293,0
10.71,1.62,2.07,0.444,F7/F8V:,16.757576,1
7.71,5.05,0.64,1.093,K0III,16.226456,0
9.87,9.02,1.59,0.51,F7V,19.646034,1
8.56,10.65,1.11,0.532,F7V,18.696747,1
8.69,10.38,1.08,0.537,F8/G0V,18.770985,1
7.74,5.04,0.99,1.114,G5III,16.252151,0
8.66,4.01,1.06,0.391,F2V,16.675722,1
8.32,0.19,0.78,1.515,M3III,9.713768,0
9.65,0.29,1.5,1.72,K7V,11.961989,1
6.61,4.02,0.78,-0.04,B9IIIsp...,14.63113,0
9.83,2.3,10.4,0.587,G2/G3V,16.63864,1
7.49,6.44,0.61,1.185,K3III,16.534428,0
7.17,10.38,0.89,0.375,F2V,17.250986,1
7.6,4.67,0.87,1.1,K1III,15.946585,0
7.59,25.15,0.97,0.626,G2V,19.59269,1
9.85,4.39,1.85,0.652,G3V,18.062323,1
8.8,9.45,1.41,0.47,F5V,18.677158,1
9.07,0.67,1.14,1.163,K1IV:,13.200374,1
6.27,13.84,0.52,0.44,F5Vs,16.975681,1
8.3,0.33,1.19,1.08,K0III,10.8925705,0
6.43,8.43,1.03,1.122,K0/K1III,16.059137,0
8.2,2.54,1.04,1.15,K0III,15.224169,0
9.03,0.23,0.99,1.288,K1III,10.838639,0
10.27,-1.88,1.24,0.099,B8Iab:e,16.640789,0
9.0,10.61,1.45,0.566,G1V,19.128576,1
8.5,7.31,1.14,0.469,F5V,17.819588,1
5.55,9.4,0.88,0.398,F5III+...,15.415639,0
9.17,5.44,1.15,0.452,F5V,17.847996,1
5.5,8.81,0.82,0.029,A2V,15.224879,1
7.97,3.52,1.01,1.438,K3III,15.702713,0
8.95,1.64,0.91,1.592,M2/M3III,15.0242195,0
3.69,57.19,0.62,0.844,G5IV,17.4766,1
8.1,1.5,1.08,1.227,K1III,13.980456,0
8.54,1.63,1.09,0.97,G8/K0III,14.600939,0
6.04,7.07,1.0,1.081,G6III:,15.287097,0
9.09,4.26,1.28,0.44,F3V,17.23705,1
9.23,5.62,1.23,0.995,K0III,17.978682,0
6.91,3.56,0.78,1.249,K2III,14.66725,0
6.96,2.73,0.81,0.788,G3II/III,14.140814,0
9.22,0.17,1.0,1.088,K1/K2II/III,10.372245,0
6.88,14.68,1.0,0.312,F0IV/V,17.71363,1
8.76,1.47,1.31,1.008,K0V,14.596587,1
8.96,12.98,1.22,0.71,G5V,19.526373,1
7.61,3.86,0.82,1.001,K0III,15.542936,0
8.68,4.98,0.83,1.205,K2/K3III,17.166147,0
8.02,6.29,0.91,0.269,A7V,17.013252,1
8.38,3.59,1.21,0.891,G8III,16.155472,0
8.07,0.49,0.9,0.535,A0Ib,11.52098,0
8.15,1.54,1.17,1.397,K3III,14.087604,0
9.94,5.79,1.76,0.626,G0V,18.753391,1
6.67,5.89,0.85,1.077,K0III,15.5205765,0
9.24,2.9,1.24,1.26,K0III,16.55199,0
7.73,13.47,0.89,0.401,F2V,18.376839,1
8.1,4.01,1.05,0.944,G8III/IV,16.115723,1
7.06,7.14,0.76,0.365,G8II/III,16.328491,0
8.51,7.73,1.21,0.559,F7V,17.950897,1
7.04,5.52,0.75,1.017,G8II-III,15.749696,0
6.71,4.45,0.91,0.879,G5III,14.9518,0
6.8,5.39,0.84,1.524,K5III,15.457944,0
6.59,5.05,0.81,1.351,K2/K3III,15.106457,0
9.21,6.73,1.24,0.566,G0V,18.350075,1
9.35,1.11,1.11,1.022,K0III,14.576615,0
6.11,0.57,0.69,-0.151,O9IIInn,9.889375,0
8.97,0.77,1.06,1.241,K2III,13.402454,0
6.15,22.09,0.65,0.524,F7III,17.87098,0
9.05,4.73,0.94,0.909,G8IV,17.424305,1
2.07,16.36,0.76,1.576,M0IIIvar,13.138916,0
9.0,5.6,1.24,0.457,F4V,17.74094,1
8.59,3.66,2.35,-0.001,B9V,16.407406,1
8.7,4.19,1.23,0.171,A3III,16.81107,0
8.73,1.42,1.2,1.124,K1III,14.491442,0
5.63,12.61,0.68,-0.059,B9IV-V,16.133575,1
8.38,3.31,1.1,1.137,K1III,15.979139,0
9.27,3.72,0.94,1.336,K2III,17.122715,0
7.58,3.64,0.94,1.271,K1IV,15.385508,1
8.16,4.63,0.7,0.921,G6III,16.487904,0
8.61,5.35,1.03,1.041,K1III,17.251768,0
8.41,2.74,0.73,1.191,K1/K2IIICN.,15.598753,0
6.35,7.92,0.82,-0.002,A1Vn,15.843626,1
5.98,7.18,0.9,1.119,K2III,15.260622,0
8.4,15.59,1.43,0.566,G2V,19.364231,1
8.83,14.72,1.07,0.59,G0V,19.669538,1
6.11,8.87,0.77,1.109,K0/K1III,15.849619,0
4.34,4.97,0.82,-0.123,B5V,12.821781,1
8.64,0.65,1.16,0.95,G8III/IV,12.704567,1
8.98,1.08,1.13,1.257,G8/K0III:,14.147119,0
7.18,8.95,0.6,0.156,A3V,16.939116,1
6.43,26.54,0.68,0.415,F3/F5V,18.549505,1
7.98,0.59,1.11,1.477,K3III,11.83426,0
6.17,10.21,0.7,0.066,A2V,16.215128,1
6.41,3.29,0.85,1.306,K2III,13.995979,0
8.95,8.88,1.23,0.625,G2V,18.692064,1
8.36,5.61,1.87,0.441,F3V,17.104813,1
5.17,18.08,0.9,0.128,A3V,16.455992,1
7.64,11.63,1.11,0.479,F6V,17.967897,1
9.16,9.89,1.18,0.782,G8IV,19.135983,1
9.36,0.01,1.53,1.094,G8/K0III,4.3599997,0
9.09,-1.8,1.56,0.644,B1.5Ia,15.366363,0
9.03,3.53,4.6,0.664,G2V,16.768873,1
5.72,6.17,0.71,-0.056,B9IV,14.671425,1
6.74,9.62,0.76,0.191,A5IV,16.655876,1
5.69,7.76,1.11,-0.01,B9.5Vn,15.139309,1
9.35,4.95,1.32,0.67,G0V,17.823025,1
8.79,5.13,1.14,0.325,A8/A9V,17.340588,1
6.94,5.8,0.93,1.252,M5III,15.757139,0
7.27,13.56,0.92,0.609,G1V,17.9313,1
6.39,3.48,0.76,-0.103,B7IIIMNp...,14.097897,0
7.34,0.91,0.89,0.924,G6:IIICNpva,12.135207,0
2.28,59.89,0.56,0.38,F2III-IV,16.16677,1
7.39,4.76,0.99,0.99,K0III,15.778034,0
5.67,10.02,0.71,1.119,K1III,15.674339,0
8.08,3.05,1.03,0.995,G8III,15.501499,0
9.47,6.94,1.26,0.572,F8V,18.676798,1
10.2,-0.01,1.63,0.461,F3/F5V,5.2,1
8.97,20.86,2.16,0.807,G6/G8V,20.566574,1
6.4,6.85,0.66,0.995,K0II/IIICN,15.578453,0
8.62,7.41,1.07,0.992,K0III,17.96909,0
8.37,3.14,1.14,1.109,K0III,15.854649,0
9.25,-1.02,1.25,1.021,G3/G5V,14.293001,1
8.78,6.39,1.21,0.844,K0III,17.807503,0
9.11,2.94,1.03,1.092,K0III,16.451736,0
8.86,1.67,1.29,1.02,G8III,14.973581,0
8.47,4.47,1.0,1.304,K3III,16.721539,0
8.08,3.45,0.94,1.156,K2III,15.769095,0
8.6,1.11,1.31,1.412,K3/K4III,13.826615,0
7.05,6.57,0.86,1.05,K1III,16.137829,0
8.46,20.6,1.06,0.748,G6V,20.029335,1
10.84,-1.66,1.51,0.045,B6Ia,16.94054,0
8.96,1.78,2.76,0.188,B7III,15.2121,0
7.63,13.46,1.61,0.491,F5V,18.275227,1
6.35,16.82,0.85,0.493,F5/F6V,17.47913,1
6.97,51.27,0.88,0.766,K0V,20.519316,1
9.16,6.17,1.38,0.546,F5/F6V,18.111425,1
7.71,5.48,0.85,0.085,A2V,16.403904,1
8.52,2.53,1.41,0.16,A2V,15.535603,1
8.72,1.33,0.8,1.309,K3III,14.339258,0
6.12,8.86,0.55,0.935,G8III,15.857168,0
9.61,6.01,1.33,0.523,F7V,18.504372,1
8.67,0.6,1.25,1.066,K0III,12.560757,0
9.6,-1.65,1.66,0.197,B1IV,15.68742,1
9.36,2.39,1.34,0.358,F3IV-V,16.25199,1
9.09,0.09,1.29,1.451,M4/M5III,8.861213,0
5.16,20.42,0.73,0.442,F5III,16.710278,0
7.77,5.68,0.83,1.051,K0III,16.541742,0
8.37,1.8,0.76,1.435,K2III,14.646362,0
8.83,-1.79,2.42,0.724,B5Iab,15.094265,0
8.6,11.16,1.52,0.481,F3V,18.838322,1
12.15,14.8,4.83,1.387,K7V:,23.001308,1
7.47,1.65,1.01,1.415,K1II,13.55742,0
9.19,7.22,1.27,0.596,G3V,18.482685,1
9.19,6.09,1.22,0.636,G2V,18.113087,1
8.74,2.83,1.14,1.18,K1III,15.998932,0
6.93,7.77,0.88,0.994,K0III,16.382105,0
8.85,8.01,0.94,0.518,F6V,18.368164,1
7.96,2.01,1.08,1.562,K5III,14.475981,0
9.31,2.98,1.37,1.045,K1III,16.681082,0
7.22,0.31,0.82,1.51,K3II,9.676808,0
9.12,4.61,1.4,0.471,F3V,17.438503,1
7.33,2.47,0.77,1.64,M1III,14.293485,0
8.5,12.24,1.15,0.573,F8V,18.938908,1
6.09,12.12,1.11,0.186,A6V,16.507515,1
7.64,4.53,0.84,0.317,F0III,15.92049,0
8.57,13.92,1.11,0.644,G3V,19.288195,1
7.15,7.12,1.44,1.496,K4III,16.4124,0
8.23,4.41,1.1,0.986,G9III,16.452192,0
9.99,3.91,1.48,0.515,F6/F7V,17.950884,1
5.21,22.09,2.04,0.32,A7IV,16.93098,1
8.27,4.17,1.04,0.323,F0III,16.370682,0
9.08,13.15,2.1,0.705,G5/G6IV/V,19.67463,1
7.11,3.7,0.93,1.26,K0III,14.95101,0
7.14,10.32,0.82,0.464,F5IV,17.208399,1
8.49,5.91,0.94,0.431,F2V,17.347939,1
9.76,19.25,1.67,0.74,G8V,21.182154,1
9.69,9.67,1.46,0.703,G8IV/V,19.61713,1
9.14,0.76,1.06,0.898,G8III,13.544068,0
7.21,3.38,0.91,1.53,K3/K4III,14.854584,0
8.52,3.87,0.91,0.354,F0V,16.458555,1
9.82,4.88,1.51,1.18,F3/F5V,18.262098,1
8.17,7.15,1.41,0.563,F8V,17.44153,1
8.66,37.6,2.02,1.197,K2V,21.535938,1
8.4,2.9,0.72,-0.057,B9V,15.71199,1
8.49,1.18,1.1,1.158,K0III,13.84941,0
9.65,8.98,1.65,0.641,G3/G5V,19.416382,1
9.83,10.07,1.54,0.618,G5V,19.845146,1
7.36,7.25,0.62,0.006,A0V,16.66169,1
7.93,0.34,0.74,1.57,M1III,10.587395,0
8.57,3.22,0.96,1.314,K2/K3III,16.10928,0
8.56,2.29,1.06,0.95,K1III+...,15.359179,0
8.69,5.45,1.26,0.549,F8V,17.371983,1
8.57,-0.16,1.12,1.612,M1III,9.590599,0
8.15,2.61,0.74,1.201,K1/K2III,15.233202,0
5.66,1.79,0.68,0.595,A1Ia,11.924265,0
6.51,6.65,0.56,0.97,K0II/IIICN.,15.624108,0
7.39,6.16,0.64,1.086,K0III,16.337904,0
8.53,2.66,1.1,1.039,K0IIICN...,15.654408,0
7.53,2.76,0.86,1.468,K3III,14.734547,0
8.62,8.05,0.8,0.749,G3III,18.14898,0
7.88,5.03,0.85,0.473,F3V,16.38784,1
6.95,5.66,0.94,1.574,M2III,15.714082,0
9.66,2.7,1.84,0.423,F3IV/V,16.816818,1
7.51,24.85,0.92,0.595,G0V,19.486633,1
8.55,7.31,0.77,0.417,F2/F3V,17.869587,1
9.08,4.73,1.34,0.798,G5IV,17.454306,1
6.05,2.93,0.72,1.58,K5III,13.384338,0
8.4,2.19,0.77,1.014,G8III,15.102221,0
7.12,2.03,0.81,1.722,M2III,13.65748,0
8.72,1.42,1.32,1.183,K2III,14.4814415,0
9.27,-0.29,1.18,1.423,K2/K3III,11.58199,0
7.93,3.32,0.7,1.608,K5III,15.53569,0
8.69,22.16,0.98,0.722,G8V,20.417847,1
9.63,4.46,1.42,0.489,F5V,17.876675,1
8.7,2.07,1.24,1.055,G8III,15.279852,0
6.46,9.68,1.01,0.248,A9V,16.389378,1
8.1,0.76,1.12,1.477,K4III,12.504068,0
9.04,3.96,1.35,1.0,G9III,17.028477,0
5.07,41.8,0.75,0.502,F8V...,18.17588,1
9.71,7.35,2.05,0.417,F2V,19.041437,1
8.85,4.41,0.77,0.585,F8/G0V,17.072193,1
9.44,5.68,4.61,0.439,F3V,18.211742,1
5.92,2.16,0.87,0.512,F0II,12.592269,0
9.97,8.3,1.74,0.671,G5V,19.565392,1
9.26,5.07,1.06,1.174,K1III,17.78504,0
8.11,14.91,1.01,0.484,F6V,18.977386,1
5.94,17.97,0.74,0.444,F5IV,17.21274,1
9.4,8.99,1.06,0.559,F6V,19.168798,1
7.4,13.41,1.5,0.631,G1V,18.037144,1
9.78,9.26,1.19,0.617,G3/G5V,19.613056,1
8.16,11.86,1.23,0.495,F7V,18.530424,1
6.81,28.91,0.73,0.596,G3IV,19.11524,1
9.48,5.52,1.74,0.53,F5V,18.189695,1
9.17,2.4,1.5,0.311,F0V,16.071056,1
9.23,3.97,1.54,0.46,F2/F3V,17.223953,1
8.51,10.69,1.08,0.553,F7V,18.654888,1
4.53,18.95,4.35,0.147,A2V,15.918047,1
8.58,5.13,0.91,1.29,K3III,17.130587,0
9.38,13.46,1.29,0.662,G6V,20.025227,1
6.2,10.01,0.54,1.114,K2III:,16.20217,0
7.34,19.39,1.5,0.473,F6V,18.77789,1
8.4,1.28,1.15,1.187,K2III,13.936049,0
8.27,1.48,1.15,1.388,K3III,14.121309,0
9.08,6.43,0.9,0.381,F0V,18.121056,1
7.45,2.99,1.06,1.535,M3III,14.828356,0
5.29,13.45,0.5,1.049,K1/K2III,15.933611,0
8.79,2.51,1.27,1.266,K2III,15.788368,0
5.77,9.4,0.78,-0.084,B9V,15.635639,1
7.04,5.61,0.72,1.122,K0IIIp,15.784814,0
8.65,4.93,0.98,0.37,F2IV,17.114235,1
7.72,2.11,0.91,0.747,G5IIIwe,14.341412,0
8.61,2.9,1.1,1.337,K3III,15.921989,0
8.97,5.34,1.97,1.3,G0V,17.607706,1
9.52,10.27,1.08,0.735,C6II,19.577852,0
8.48,4.19,1.95,1.2,K1III,16.59107,0
9.48,0.22,1.42,1.141,G8II,11.192113,0
8.2,2.34,1.23,1.499,K4III,15.04608,0
7.82,4.11,0.8,1.041,K0III,15.88921,0
6.93,4.4,0.85,1.085,K0III,15.147263,0
8.25,10.71,1.08,0.571,G1/G2V,18.398947,1
7.07,6.46,0.9,1.013,K0III,16.121162,0
6.89,10.86,0.86,0.456,F3IV,17.069149,1
9.71,5.63,0.96,0.595,F6/F7V,18.462543,1
7.81,4.61,0.9,0.933,G8III,16.128504,0
8.69,3.64,1.19,0.999,G8/K0III,16.495506,0
8.41,8.94,0.8,0.464,F5V,18.166687,1
8.01,1.4,0.93,1.551,M2/M3III,13.740641,0
5.42,4.06,0.55,-0.066,B8III,13.46263,0
7.93,4.37,0.77,0.964,K0III,16.132408,0
9.83,5.65,1.26,0.528,F5V,18.590242,1
4.26,12.63,0.86,0.942,K0III,14.767016,0
8.59,2.3,1.25,0.391,F0III,15.39864,0
6.03,7.21,0.74,-0.063,B9.5IIIMNp.,15.319675,0
6.67,16.33,1.59,0.518,F7IV/V,17.734932,1
9.41,2.46,1.07,0.967,G6/G8III,16.364676,0
6.0,11.49,0.64,0.029,A1Vn,16.3016,1
5.01,13.46,0.76,0.883,G8III...,15.655226,0
6.17,12.17,0.75,0.959,G8III,16.596453,0
6.97,2.33,0.54,1.628,M1III,13.80678,0
9.53,3.14,1.24,0.229,A3III,17.014648,0
7.5,8.63,1.04,0.488,F5/F6V,17.180054,1
7.2,-0.69,9.62,0.085,A2V,11.394245,1
7.12,2.63,0.73,0.019,B3III,14.219778,0
5.87,9.91,0.88,0.966,K0II/III,15.8503685,0
6.22,2.84,0.69,0.032,B9.5V,13.486591,1
5.76,6.25,0.83,1.185,K1III,14.739401,0
9.5,5.02,2.08,0.439,F5IV/V,18.00352,1
4.79,10.01,0.77,1.572,M2III,14.79217,0
5.23,9.49,0.82,1.396,K5III,15.116331,0
6.61,4.96,0.57,1.079,K0III,15.087408,0
6.36,17.34,0.71,0.457,F4V,17.555244,1
7.25,10.89,1.03,1.019,K2III,17.435139,0
9.55,45.4,1.55,1.267,K4V,22.83528,1
8.88,8.42,1.24,0.409,F3Vws,18.506561,1
7.2,3.12,0.91,1.673,M2III,14.670773,0
7.32,4.71,0.59,1.031,G8/K0III,15.685104,0
8.87,4.22,1.12,0.09,B7V,16.996563,1
8.7,11.62,0.82,0.874,K0IV,19.026031,1
5.98,7.16,0.94,0.941,G8III,15.254564,0
9.16,9.14,1.53,0.922,G8IV,18.964731,1
8.78,2.32,0.88,1.113,K1/K2III,15.607439,0
9.29,5.12,1.29,0.084,B9V,17.83635,1
9.02,4.84,0.92,0.488,F0IV,17.444227,1
6.32,7.08,0.8,0.879,G8III-IV SB,15.570166,1
7.01,6.83,0.98,0.967,G8/K0III,16.182104,0
9.05,9.0,1.59,0.516,F5V,18.821213,1
8.72,2.21,0.81,0.965,G6III,15.441961,0
8.69,2.19,0.8,1.126,K0/K1III,15.39222,0
8.97,2.99,1.04,1.136,K1III,16.348356,0
8.84,2.58,1.08,-0.104,B8V,15.898098,1
6.77,-0.03,0.75,1.725,K3Ib-II,4.1556063,0
8.38,4.33,1.15,-0.06,B9V,16.562439,1
9.23,2.51,0.98,1.313,K3/K4III,16.228367,0
9.37,16.01,1.34,0.737,G8V,20.391956,1
6.33,8.56,0.68,1.21,K2III,15.992369,0
8.59,10.76,1.1,0.489,F6V,18.749062,1
9.59,4.49,1.04,0.57,F8V,17.85123,1
9.16,5.56,1.35,1.061,K1III,17.885374,0
9.29,0.62,1.05,1.416,K3III,13.251959,0
8.2,4.1,0.77,0.214,A7IV,16.26392,1
9.0,6.32,1.32,0.903,G8IV,18.003586,1
7.95,15.34,0.99,0.945,K1IV,18.879128,1
8.77,2.98,0.86,1.08,G8III,16.141083,0
8.74,3.71,1.71,0.473,F5IV/V,16.58687,1
5.42,7.86,0.68,1.556,M0III,14.897113,0
8.85,2.4,1.17,0.574,B5II,15.751057,0
9.07,1.11,1.2,1.14,K0III,14.296615,0
5.92,3.23,0.55,1.561,M0III,13.466013,0
6.4,8.94,0.83,1.029,K0III,16.156689,0
7.15,7.65,0.85,0.222,A8V,16.568308,1
8.97,5.12,1.34,0.86,G8/K0V,17.51635,1
7.09,2.16,0.77,0.137,B5II: SB,13.762269,0
5.86,3.42,0.65,-0.079,B7III,13.53013,0
8.35,14.33,0.98,0.55,G0V,19.131231,1
9.32,6.33,1.03,0.454,F5V,18.327019,1
7.2,4.69,0.91,0.986,K0III,15.555864,0
9.51,11.73,1.47,0.595,G2V,19.856491,1
8.61,2.97,1.63,1.064,K1III,15.973782,0
8.66,32.32,9.52,0.566,G0/G1V,21.207357,1
8.2,5.02,1.02,1.183,K2IIICNII,16.703518,0
8.52,4.19,1.06,1.015,G8III,16.631071,0
7.21,5.43,1.07,1.122,K0III,15.884,0
6.07,0.1,0.56,0.389,A0Iab,6.07,0
9.68,9.53,1.39,0.502,F6V,19.575464,1
8.62,8.15,1.18,0.365,F0V,18.175789,1
7.86,1.57,0.95,1.419,K4III,13.8394985,0
9.01,2.93,1.29,0.101,A2V,16.344337,1
7.98,1.28,0.94,0.067,B4IV,13.51605,1
7.95,9.93,1.95,0.654,G0IV,17.934746,1
9.15,2.18,0.9,1.034,G8/K0III/IV,15.842282,1
8.51,22.51,1.49,0.73,G8III,20.271877,0
8.45,3.45,0.92,0.964,G8III,16.139095,0
9.2,8.35,1.16,0.811,G8V,18.808432,1
6.74,7.67,0.87,0.993,G8III-IV,16.163977,1
8.0,2.84,1.19,1.034,K0III,15.266592,0
7.43,1.05,0.9,0.279,B2Ib,12.535946,0
5.32,10.26,0.57,-0.014,A0Vnn,15.375738,1
7.28,10.73,0.99,0.493,F7V,17.432999,1
9.17,2.74,0.99,1.2,K1III,16.358753,0
9.33,3.34,1.16,1.068,K0III,16.948732,0
9.77,8.41,1.6,0.73,G3/G5V,19.39398,1
7.6,3.27,1.05,1.14,K0III,15.172739,0
8.99,0.99,0.83,1.157,K0/K1III,13.968176,0
7.15,71.01,0.78,0.936,K2V,21.406597,1
8.87,3.57,1.25,0.155,B9V,16.63334,1
5.52,57.63,0.64,0.551,F8V,19.323244,1
9.59,8.53,1.43,0.515,F6V,19.244745,1
8.63,9.66,1.22,0.663,G2V,18.554886,1
8.47,0.47,0.94,-0.18,B1.5IV,11.83049,1
7.88,0.42,0.79,1.416,K4III,10.996246,0
8.8,19.11,1.13,0.71,G5V,20.206303,1
7.64,2.48,0.94,1.454,K5III,14.612258,0
8.9,10.19,1.29,0.675,G5V,18.94087,1
9.46,1.89,1.24,1.024,G8/K0III,15.842309,0
8.51,2.15,0.85,1.005,K0III,15.172193,0
9.33,4.57,1.29,0.51,F5V,17.629581,1
9.75,0.28,1.51,0.42,F0V,11.98579,1
9.17,4.17,1.23,1.016,K3V,17.27068,1
8.13,2.08,0.7,1.238,K2III,14.720316,0
9.11,2.75,1.63,1.142,K1III,16.306664,0
9.24,1.99,1.22,0.133,A3IV/V,15.734265,1
8.89,3.64,2.06,0.308,A8V,16.695507,1
6.66,6.75,0.82,1.199,K2III,15.806519,0
6.49,6.48,1.01,0.91,G8III,15.547874,0
9.32,7.11,1.37,0.929,K0/K1IV/V:,18.579348,1
9.57,4.63,1.31,0.38,F0V,17.897903,1
8.45,2.38,1.07,1.053,K0III,15.332885,0
5.86,14.65,1.35,1.01,K0IV,16.68919,1
6.01,8.56,1.17,0.203,A7IV,15.672369,1
5.38,8.26,0.81,1.343,K3III,14.9649,0
9.25,1.18,1.17,1.403,K3III,14.60941,0
7.67,4.02,0.91,0.95,G8/K0III,15.691131,0
9.56,14.86,1.38,0.66,G5V,20.420094,1
7.53,4.28,0.87,1.129,K1III,15.68722,0
8.27,4.91,0.77,1.169,K2IIICN...,16.725409,0
6.98,4.97,0.6,1.378,K4III,15.461781,0
9.11,5.24,3.28,0.79,G8V,17.706657,1
7.34,4.39,1.0,1.131,K0III,15.552322,0
8.8,10.59,1.28,0.537,F7V,18.92448,1
7.91,4.08,0.79,1.045,K0III,15.963301,0
8.76,-0.82,0.91,1.483,M3III,13.329069,0
7.78,7.56,1.37,0.411,F3IV...,17.17261,1
7.76,3.54,1.21,1.293,K2III,15.505016,0
8.05,7.6,1.01,0.364,F2IV,17.454067,1
9.42,4.76,2.01,1.565,M1Ibpev comp,17.808035,0
8.86,2.26,1.35,1.141,K1III,15.630542,0
8.16,13.48,1.03,0.661,G3V,18.808449,1
7.7,3.29,0.98,1.467,MIII,15.285979,0
8.27,1.87,0.77,1.608,M1III,14.629209,0
9.34,8.16,1.21,0.543,F7V,18.89845,1
8.19,11.8,0.93,0.515,F8V,18.54941,1
8.93,3.49,1.21,0.377,F0V,16.644127,1
9.78,7.92,1.66,0.515,F6/F7V,19.273624,1
8.84,8.04,1.01,0.412,F3V,18.36628,1
9.12,1.35,0.87,1.077,G8III,14.771669,0
8.73,3.17,1.19,1.01,G8III,16.235296,0
7.36,4.25,0.72,0.993,K0III,15.5019455,0
8.94,8.68,1.23,0.507,F6V,18.632599,1
7.94,16.94,0.61,0.522,F7V,19.084566,1
9.1,8.02,1.74,0.651,G3V,18.620872,1
8.62,5.81,1.9,1.007,K0III,17.44088,0
8.08,12.7,0.94,0.421,F3V,18.599018,1
9.27,9.9,1.23,0.543,F7V,19.248177,1
8.65,6.33,1.19,0.658,G3V,17.657019,1
6.09,7.62,0.51,1.176,K2III,15.499775,0
9.05,10.89,1.1,0.641,G3V,19.235138,1
8.78,7.72,0.97,0.44,F3V,18.218086,1
9.4,3.53,2.57,0.53,F7V,17.138874,1
8.33,3.61,0.92,0.1,A3V,16.117537,1
8.2,12.24,1.76,0.501,F5V,18.638908,1
7.35,11.35,0.88,0.681,G2IV,17.62498,1
6.53,3.69,0.73,0.051,A0Vs,14.365131,1
9.46,2.1,1.54,0.58,G2V,16.071096,1
8.87,3.03,1.56,1.19,K1III,16.277214,0
6.77,23.97,0.97,0.468,F5V,18.66834,1
7.84,2.8,0.71,1.452,K5III,15.07579,0
8.65,-0.53,1.21,1.349,K2III,12.2713785,0
7.16,2.87,0.77,1.546,K5/M0III,14.4494095,0
9.87,4.92,1.42,0.418,F2V,18.329826,1
8.39,4.95,1.03,0.912,K0III,16.863026,0
8.03,2.51,1.17,1.077,K0III,15.028368,0
7.89,1.59,1.03,1.375,K2III,13.896986,0
8.98,3.5,1.31,0.98,G8III/IV,16.70034,1
8.94,3.53,1.23,1.254,K1III,16.678873,0
7.84,3.27,0.97,0.896,G5III,15.412739,0
6.35,5.29,0.78,1.608,K5III,14.967278,0
6.8,1.44,0.6,1.63,M5III,12.591812,0
4.74,9.2,1.06,-0.098,B8Vn,14.558939,1
8.67,2.65,0.94,1.015,K0III,15.78623,0
8.65,5.23,1.17,1.099,K1III,17.242508,0
4.48,3.6,0.82,-0.069,B5III,12.261513,0
9.08,6.93,1.19,0.567,G0V,18.283667,1
9.51,13.04,2.32,0.677,G6V,20.08639,1
8.12,12.57,1.08,0.607,G2V,18.616676,1
9.06,1.06,0.94,1.688,K5III:,14.186529,0
8.93,2.91,1.03,1.156,K1/K2III,16.249466,0
9.2,11.52,1.55,0.665,G3V,19.507263,1
6.33,18.04,0.79,1.02,K2IV,17.611183,1
8.83,5.64,1.05,0.468,F3/F5V,17.586395,1
9.48,5.3,1.35,0.6,F7V,18.10138,1
8.96,13.5,1.29,0.544,F7/F8V,19.61167,1
6.37,5.13,0.59,-0.081,B8/B9V,14.920587,1
8.88,4.86,1.29,0.996,G8II/III,17.31318,0
9.33,7.56,0.95,0.5,F7V,18.722609,1
8.12,2.45,0.93,1.205,K2III...,15.06583,0
9.36,19.65,1.47,0.928,K2V,20.826813,1
8.7,1.3,0.77,1.33,K3III,14.269716,0
8.59,22.53,0.91,0.769,G8V,20.353806,1
7.06,4.91,1.09,1.427,K3III,15.515408,0
8.81,8.31,0.78,0.67,G3IV,18.408005,1
9.59,3.26,1.37,0.407,F2V,17.15609,1
9.1,3.83,1.17,1.169,K1IV,17.015995,1
8.92,13.53,1.28,0.578,G2V,19.576488,1
8.93,0.95,0.79,1.025,G8III,13.818619,0
8.41,2.53,1.15,1.342,K2III,15.425602,0
7.78,4.14,0.89,1.047,K0III,15.865002,0
6.32,6.04,0.75,1.419,K5III,15.225185,0
7.04,36.18,1.02,0.624,G2/G3V,19.832344,1
9.32,6.62,1.43,0.379,F3IV/V,18.42429,1
7.58,4.34,0.88,0.913,G8III,15.767448,0
9.46,7.58,1.16,0.631,G2V,18.858345,1
8.67,2.52,1.1,1.157,K1III,15.677003,0
6.24,9.58,0.95,0.98,G1V...,16.146828,1
8.88,1.79,1.24,1.047,K0III/IV,15.144265,1
7.88,2.94,0.85,1.287,K2III,15.221737,0
9.47,7.45,1.36,0.685,G3V,18.830782,1
9.5,-0.18,1.34,1.147,K0III,10.776362,0
6.49,4.63,0.54,0.983,G8/K0III,14.817904,0
8.46,3.31,1.14,0.98,K0III,16.05914,0
6.14,8.91,0.75,0.962,G8III,15.889389,0
6.16,8.53,0.83,1.102,K1III,15.814745,0
8.5,6.69,0.8,0.447,F3V,17.62713,1
6.89,3.34,0.57,1.36,K2III,14.508732,0
7.74,1.5,0.88,1.406,K4III,13.620456,0
